,Unnamed: 0.1,Unnamed: 0,French,English
0,1,1,histoire,history
1,2,2,seulement,only
2,3,3,police,police
3,4,4,pensais,thought
4,5,6,demande,request
5,7,8,frère,brother
6,8,10,aucun,no
7,9,11,laisse,leash
8,10,12,eux,them
9,11,13,ville,city
10,13,15,parlé,speak
11,14,16,arrivé,come
12,15,17,devrait,should
13,16,18,bébé,baby
14,21,23,aucune,any
15,22,24,place,square
16,25,28,attention,Warning
17,29,35,endroit,place
18,30,36,yeux,eyes
19,31,38,écoute,listen
20,32,39,dont,whose
21,33,40,trouve,find
22,35,42,perdu,lost
23,36,43,main,hand
24,37,44,première,first
25,38,45,côté,side
26,39,46,pouvoir,power
27,40,47,vieux,old
28,41,48,sois,be
29,42,50,matin,morning
30,43,51,tellement,so much
31,44,52,enfant,child
32,45,53,point,point
33,47,56,pardon,sorry
34,48,58,vers,towards
35,49,59,minutes,minutes
36,50,61,chambre,bedroom
37,51,62,mis,placed
38,52,63,belle,beautiful
39,53,64,aimerais,would like to
40,54,65,aujourd'hui,today
41,55,66,mari,husband
42,56,67,cause,cause
43,58,69,espère,hope
44,59,70,eau,water
45,60,71,attendez,Wait
46,61,72,parti,left
47,63,74,boulot,job
48,65,76,dirait,would say
49,68,80,loin,far
50,69,81,fin,end
51,71,83,plutôt,rather
52,74,86,bureau,office
